Step,Action,CPU,Swap,Load,RAM,IOwait,Latency,Reward
117,2,0.11036604642868042,0.07497935742139816,0.8630257248878479,0.0011944076977670193,0.0,0.022336844354867935,0.9561994671821594
118,2,0.10001415014266968,0.08977508544921875,0.828815758228302,0.009417280554771423,0.002017175778746605,0.04154714569449425,0.9581409096717834
119,2,0.08881431072950363,0.061313431710004807,0.8199808597564697,0.03694695979356766,0.03389652445912361,0.024259593337774277,0.961870551109314
120,2,0.07376931607723236,0.05750966817140579,0.8400323987007141,0.03122669830918312,0.0,0.03204470872879028,0.9602457880973816
121,2,0.06626854836940765,0.06778760254383087,0.8357316255569458,0.057362303137779236,0.0,0.08735581487417221,0.959648072719574
122,3,0.02027776464819908,0.0662338137626648,0.8326650261878967,0.09290651977062225,0.026467865332961082,0.0,0.9601101279258728
123,2,0.022148970514535904,0.03487463667988777,0.8094847202301025,0.06179090961813927,0.0,0.0,0.9655640721321106
124,2,0.02318783663213253,0.0266402754932642,0.765627384185791,0.07005578279495239,0.0,0.012348945252597332,0.9707732200622559
125,2,0.02431361936032772,0.039233431220054626,0.7995041012763977,0.09190747886896133,0.0,0.017562832683324814,0.9661262631416321
126,2,0.03680706024169922,0.016297699883580208,0.8278667330741882,0.08468001335859299,0.026130180805921555,0.03346289321780205,0.9655835628509521
127,3,0.06573149561882019,0.03164171427488327,0.8526612520217896,0.05720188841223717,0.027305347844958305,0.0,0.9615697264671326
128,2,0.06526035070419312,0.03433845937252045,0.8355929255485535,0.07500957697629929,0.0,0.003180666361004114,0.963006854057312
129,2,0.07659510523080826,0.010883818380534649,0.8123351335525513,0.07640369981527328,0.0018766996217891574,0.0,0.9676781296730042
130,2,0.08959975093603134,0.0,0.797234833240509,0.019282041117548943,0.0,0.0,0.9702765345573425
131,3,0.11233075708150864,0.010437088087201118,0.7833326458930969,0.023551493883132935,0.0,0.0,0.9706230163574219
132,2,0.11268267780542374,0.025353429839015007,0.8093953132629395,0.057767465710639954,0.0,0.005268102511763573,0.966525137424469
133,2,0.10282761603593826,0.020807188004255295,0.8273746371269226,0.05797228217124939,0.003944176249206066,0.02053024433553219,0.965181827545166
134,2,0.12432229518890381,0.01099658478051424,0.8039217591285706,0.043316297233104706,0.0,0.015039614401757717,0.9685081839561462
135,3,0.10153978317975998,0.013734592124819756,0.8073689937591553,0.070363350212574,0.0018143865745514631,0.0,0.967889666557312
136,2,0.08641865849494934,0.015201962552964687,0.7966963648796082,0.10757695883512497,0.026985473930835724,0.025217413902282715,0.9688101410865784
137,2,0.07062031328678131,0.047442782670259476,0.79946368932724,0.10093681514263153,0.003673684550449252,0.02591068483889103,0.9653093814849854
138,2,0.036295995116233826,0.08492360264062881,0.7996861338615417,0.1323167383670807,0.0,0.005127329844981432,0.9615390300750732
139,4,0.025182371959090233,0.0,0.7778693437576294,0.11427067965269089,0.0046232701279222965,0.04041073098778725,0.972213089466095
140,3,0.017019234597682953,0.0,0.8069239854812622,0.13979731500148773,0.0,0.010462267324328423,0.9693076014518738
141,2,0.0,0.017307888716459274,0.7802097797393799,0.16760210692882538,0.0,0.0,0.9702482223510742
142,2,0.012267553247511387,0.004770107101649046,0.7530328631401062,0.1636420041322708,0.0,0.039469946175813675,0.9742196798324585
143,2,0.015588727779686451,0.0,0.7641480565071106,0.2044522762298584,0.0,0.05849795415997505,0.9735851883888245
144,2,0.0,0.0,0.7629399299621582,0.2112727165222168,0.0,0.048279132694005966,0.9737060070037842
145,2,0.007424980401992798,0.0,0.7540597319602966,0.2159566879272461,0.0,0.06851780414581299,0.974593997001648
146,3,0.007168082986027002,0.0,0.705206036567688,0.22925113141536713,0.012209574691951275,0.0,0.9794793725013733
147,2,0.047227490693330765,0.0,0.6709011793136597,0.2205217033624649,0.0004430558765307069,0.016724707558751106,0.9829098582267761
148,2,0.0067322105169296265,0.027397260069847107,0.6692484021186829,0.24193695187568665,0.017049936577677727,0.029601916670799255,0.9803354144096375
149,2,0.0037530611734837294,0.02202976681292057,0.6664944291114807,0.22105780243873596,0.0,0.0,0.9811475872993469
150,2,0.01215379312634468,0.0013668399769812822,0.6447448134422302,0.22450578212738037,0.023666592314839363,0.0,0.9853888154029846
151,2,0.04790075123310089,0.001138700288720429,0.6129565834999084,0.24794164299964905,0.004123614635318518,0.013342508114874363,0.9885904788970947
152,2,0.01565816067159176,0.0,0.5844898223876953,0.2521345317363739,0.0,0.0,0.9915510416030884
153,2,0.010370183736085892,0.0,0.5938259959220886,0.2284393012523651,0.0,0.0,0.9906173944473267
